DAY,LAT,LON,Notes
1,55.896869,-3.066769,Rentamotorcycle
1,56.13385,-3.5058,Knockhill
1,56.221829,-3.625833,Glendevon
1,56.389375,-3.853735,Glen Turret
1,56.406841,-3.824013,Sma Glen
1,56.438491,-3.774703,Sma Glen
1,56.554322,-3.940937,Glen Quaich
1,56.716903,-3.857432,Queens View
1,56.881012,-3.410707,Cairnwell Pass
1,57.073255,-3.212485,The Strone
1,57.133048,-3.15371,Tom Dubh
1,57.192255,-3.239866,The Lecht
1,57.262933,-3.509491,Bridge of Brown
1,57.329065,-3.610204,Grantown on Spey
2,57.329065,-3.610204,
2,57.291215,-3.905682,Slochd
2,57.307104,-3.936569,Slochd Summit
2,57.303808,-4.104275,Glen Kyllachy
2,57.15937,-4.564862,Carn an t-Suidhe
2,57.324146,-4.442001,Castle Urquhart
2,57.483262,-4.46018,Beauly
2,57.56863,-4.385234,
2,57.581624,-4.382428,
2,57.841119,-4.27151,Struie Viewpoint
2,58.281111,-4.443308,Altnaharra
2,58.476114,-4.417568,Tongue
3,58.476114,-4.417568,Tongue
3,58.568586,-4.746795,Durness
3,58.352212,-5.148682,Scourie
3,58.243176,-5.201836,Drumbeg
3,58.202251,-5.338195,Stoer
3,58.179414,-5.041353,Loch Assynt
3,57.896663,-5.154876,Ullapool
3,57.77447,-5.595445,Inverewe
3,57.524952,-5.644476,Sheildaig
4,57.524952,-5.644476,Sheildaig
4,57.577643,-5.807772,Fearnmore
4,57.433021,-5.815461,Applecross
4,57.290563,-6.171062,Sligachan Old Bridge
4,57.302394,-6.354979,Talisker Distillery
4,57.429727,-6.778879,Neist Point Lighthouse
4,57.447825,-6.586728,Dunvegan Castle
4,57.500512,-6.393747,Fanks
4,57.593439,-6.37181,Quiraing
4,57.628607,-6.289073,Quiraing
5,57.212198,-5.622015,Glenelg
5,56.229899,-5.073519,Inveraray
4,57.49785,-6.158675,Old Man of Storr
4,57.212198,-5.622015,Glenelg